variable,estimate,lci,uci,type,group,est_ci,n
w_htn,30.6,28.4,32.8,Proportion,NA,"30.6 (28.4, 32.8)",3203
h_treated_bp,6.3,5.4,7.3,Proportion,NA,"6.3 (5.4, 7.3)",4333
h_diagnosed_dm,2.5,1.7,3.3,Proportion,NA,"2.5 (1.7, 3.3)",4333
h_treated_dm,1.8,1.1,2.4,Proportion,NA,"1.8 (1.1, 2.4)",4333
h_tobacco_any,47.6,45.2,49.9,Proportion,NA,"47.6 (45.2, 49.9)",4333
h_alcohol,28.1,26.1,30.2,Proportion,NA,"28.1 (26.1, 30.2)",4333
h_dm,14.7,11,18.4,Proportion,NA,"14.7 (11, 18.4)",938
h_htn,59.2,56.2,62.3,Proportion,NA,"59.2 (56.2, 62.3)",1794
h_diagnosed_bp,9.1,8,10.2,Proportion,NA,"9.1 (8, 10.2)",4333
rural,56.7,53.7,59.7,Proportion,NA,"56.7 (53.7, 59.7)",4333
dm_joint,0.2,-0,0.4,Proportion,NA,"0.2 (0, 0.4)",3156
htn_joint,12,10.5,13.6,Proportion,NA,"12 (10.5, 13.6)",3044
w_education,16.3,14.2,18.4,Grouped,Higher,"16.3 (14.2, 18.4)",4333
w_education,26.4,24.7,28.2,Grouped,No education,"26.4 (24.7, 28.2)",4333
w_education,12.6,11.2,14.1,Grouped,Primary,"12.6 (11.2, 14.1)",4333
w_education,44.6,42.3,46.9,Grouped,Secondary,"44.6 (42.3, 46.9)",4333
w_bmi_category,8.6,7.5,9.7,Grouped,Underweight,"8.6 (7.5, 9.7)",3256
w_bmi_category,37.2,35.3,39.2,Grouped,Normal,"37.2 (35.3, 39.2)",3256
w_bmi_category,18.5,16.9,20.1,Grouped,Overweight,"18.5 (16.9, 20.1)",3256
w_bmi_category,7.1,6.1,8.1,Grouped,Obese,"7.1 (6.1, 8.1)",3256
w_bmi_category,28.6,26.4,30.8,Grouped,NA,"28.6 (26.4, 30.8)",3256
h_bmi_category,2.9,2.3,3.6,Grouped,Underweight,"2.9 (2.3, 3.6)",1868
h_bmi_category,21.3,19.6,23,Grouped,Normal,"21.3 (19.6, 23)",1868
h_bmi_category,11.1,9.9,12.4,Grouped,Overweight,"11.1 (9.9, 12.4)",1868
h_bmi_category,2.5,1.9,3.1,Grouped,Obese,"2.5 (1.9, 3.1)",1868
h_bmi_category,62.1,59.9,64.4,Grouped,NA,"62.1 (59.9, 64.4)",1868
h_education,21,19,23.1,Grouped,Higher,"21 (19, 23.1)",4333
h_education,14.2,12.9,15.6,Grouped,No education,"14.2 (12.9, 15.6)",4333
h_education,13.3,11.7,14.9,Grouped,Primary,"13.3 (11.7, 14.9)",4333
h_education,51.4,49.2,53.6,Grouped,Secondary,"51.4 (49.2, 53.6)",4333
caste,30.5,28.1,32.8,Grouped,General,"30.5 (28.1, 32.8)",4333
caste,41.3,38.9,43.7,Grouped,OBC,"41.3 (38.9, 43.7)",4333
caste,20.6,18.8,22.3,Grouped,Schedule Caste,"20.6 (18.8, 22.3)",4333
caste,7.6,6.6,8.6,Grouped,Schedule Tribe,"7.6 (6.6, 8.6)",4333
religion,77.8,75.5,80.1,Grouped,Hindu,"77.8 (75.5, 80.1)",4333
religion,15.8,13.7,17.9,Grouped,Muslim,"15.8 (13.7, 17.9)",4333
religion,6.4,5.2,7.6,Grouped,Other,"6.4 (5.2, 7.6)",4333
wealthq,14.7,13.3,16.1,Grouped,Lowest,"14.7 (13.3, 16.1)",4333
wealthq,15.8,14.3,17.3,Grouped,Low,"15.8 (14.3, 17.3)",4333
wealthq,18.5,16.8,20.1,Grouped,Medium,"18.5 (16.8, 20.1)",4333
wealthq,22.2,20.4,24,Grouped,High,"22.2 (20.4, 24)",4333
wealthq,28.8,26.5,31.2,Grouped,Highest,"28.8 (26.5, 31.2)",4333
swealthq_ur,17,15.4,18.6,Grouped,Lowest,"17 (15.4, 18.6)",4333
swealthq_ur,18.6,16.8,20.3,Grouped,Low,"18.6 (16.8, 20.3)",4333
swealthq_ur,20.1,18.2,22,Grouped,Medium,"20.1 (18.2, 22)",4333
swealthq_ur,21.3,19.5,23.1,Grouped,High,"21.3 (19.5, 23.1)",4333
swealthq_ur,23.1,20.9,25.2,Grouped,Highest,"23.1 (20.9, 25.2)",4333
