iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model,outcome,Coefficient
factor(state)2,Conditional,5.017310861965451e-6,0.09844762809549289,-0.5851462047445757,8862,0.09845314713744105,5.605754725603021e-5,28668992.711590968,2864008654.7500005,8859.027473262036,-1.2001288962212435,0.02983648673209205,0.3137724448345346,"0.56 (0.30, 1.03)",0.3011553916183745,1.0302860547399084,SW1,Diabetes,NA
factor(state)20,Conditional,1.3465339426628135e-6,0.041048462091821614,-0.03739050437074524,8862,0.04104994327915854,3.608256720006501e-5,69171895.01818019,6912699070.100864,8859.027473262036,-0.4344946050218698,0.3597135962803793,0.2026078559166908,"0.96 (0.65, 1.43)",0.6475918740677169,1.4329189624648775,SW1,Diabetes,NA
factor(state)21,Conditional,1.3939929562974104e-6,0.034848420300555405,-0.2931434356375037,8862,0.034849953692807335,4.399983613876732e-5,46524775.167379804,4648794955.844581,8859.027473262036,-0.6590323013928421,0.07274543011783458,0.18668142299866727,"0.75 (0.52, 1.08)",0.51735173288656,1.075456723172524,SW1,Diabetes,NA
factor(state)22,Conditional,3.37065157041298e-6,0.0417101726155633,-0.5281196636694039,8862,0.04171388033229075,8.888448396358206e-5,11409987.211292114,1139175401.810001,8859.027473262036,-0.9284222415881196,-0.12781708575068823,0.2042397618787555,"0.59 (0.40, 0.88)",0.39517671215098993,0.8800143315847931,SW1,Diabetes,NA
factor(state)23,Conditional,5.490178719083208e-6,0.029657260779599317,-0.792485239923966,8862,0.02966329997619031,2.0359152878604136e-4,2179280.747837518,217131634.8768886,8857.83548761714,-1.1300505619208014,-0.4549199179271307,0.17223036891381935,"0.45 (0.32, 0.63)",0.32301692365323703,0.6344987778910848,SW1,Diabetes,NA
factor(state)24,Conditional,2.223471511894079e-6,0.04108663890623338,-1.1058283541828184,8862,0.04108908472489647,5.9524778404263906e-5,25427995.933774956,2540077308.6767793,8859.027473262036,-1.5031217307965337,-0.7085349775691032,0.2027044269987621,"0.33 (0.22, 0.49)",0.22243469394977233,0.49236499510170145,SW1,Diabetes,NA
factor(state)25,Conditional,2.0666859618925574e-6,0.4103084372661177,-2.520648929110255,8862,0.4103107106206758,5.540568401548467e-6,2932089204.358533,293179680829.4928,8859.027473262036,-3.776113663203604,-1.265184195016906,0.6405550020261147,"0.08 (0.02, 0.28)",0.022911560666618945,0.282187313856185,SW1,Diabetes,NA
factor(state)27,Conditional,1.33415140447755e-6,0.031275061227502454,-0.5389297085812734,8862,0.03127652879404738,4.692229609587032e-5,40912001.46589889,4087746901.121618,8859.027473262036,-0.8855526990013225,-0.19230671816122447,0.1768517141394094,"0.58 (0.41, 0.83)",0.41248612959321057,0.8250537707033611,SW1,Diabetes,NA
factor(state)28,Conditional,2.0953949771896598e-6,0.03922565109174139,-0.3342040314801735,8862,0.0392279560262163,5.875744515896324e-5,26096117.84164229,2606853957.751948,8859.027473262036,-0.7223954505438144,0.05398738758346738,0.1980604857769876,"0.72 (0.49, 1.06)",0.4855876604261204,1.055471290027583,SW1,Diabetes,NA
factor(state)29,Conditional,1.3023916252892705e-6,0.04074597161662309,-0.6789061172532841,8862,0.04074740424741091,3.51588233478511e-5,72853202.71412171,7280711879.681332,8859.027473262036,-1.0745441785146466,-0.2832680559919217,0.20185986289357008,"0.51 (0.34, 0.75)",0.3414533616124185,0.7533178294348422,SW1,Diabetes,NA
factor(state)3,Conditional,8.16809207888635e-6,0.042656592713981104,-0.7892049595321157,8862,0.04266557761526788,2.1058899911763387e-4,2037116.3192081836,202941631.96802032,8857.748229104194,-1.194048214910281,-0.38436170415395055,0.20655647560720017,"0.45 (0.30, 0.68)",0.3029922004448199,0.680885103663755,SW1,Diabetes,NA
factor(state)30,Conditional,2.2462924371535726e-6,0.11045581001865405,-0.3776341514353333,8862,0.11045828094033493,2.2369727826957776e-5,179926844.13101247,17985441754.237232,8859.027473262036,-1.029033366735805,0.2737650638651383,0.3323526454540943,"0.69 (0.36, 1.31)",0.3573522222165955,1.3149058470503636,SW1,Diabetes,NA
factor(state)31,Conditional,1.293870742871761e-6,0.2940197721656363,-0.0038574108943716257,8862,0.29402119542345345,4.840664004202627e-6,3841231413.705447,384089674158.4631,8859.027473262036,-1.0666228199276042,1.058907998138861,0.5422372132410809,"1.00 (0.34, 2.88)",0.34416887721753137,2.883220787102097,SW1,Diabetes,NA
factor(state)32,Conditional,8.848310669196603e-6,0.03897900650035748,-0.07674675294530241,8862,0.038988739642093595,2.4963981460965275e-4,1450654.9596098114,144415832.01343152,8857.245606046283,-0.46375274813969897,0.31025924224909407,0.1974556650038018,"0.93 (0.63, 1.36)",0.6289190366464669,1.3637786173447408,SW1,Diabetes,NA
factor(state)33,Conditional,3.227820031420691e-6,0.03369630630133174,0.05528730989288206,8862,0.033699856903366306,1.0535955819468444e-4,8123026.4033703115,810764319.4680462,8858.970390781054,-0.3045134863042494,0.41508810609001345,0.18357520775792766,"1.06 (0.74, 1.51)",0.7374820822597971,1.514504171854804,SW1,Diabetes,NA
factor(state)34,Conditional,2.6966523379931073e-6,0.1498777560970513,-0.5916018821105633,8862,0.1498807224146231,1.9791188112815032e-5,229854746.235515,22977288433.47273,8859.027473262036,-1.350390800870135,0.16718703664900825,0.38714431729604804,"0.55 (0.26, 1.18)",0.2591389691201544,1.181975317337867,SW1,Diabetes,NA
factor(state)35,Conditional,3.6583068178698133e-6,0.18332174500747234,-0.3545623587266212,8862,0.183325769144972,2.1950746577664983e-5,186859635.0958833,18678582621.584316,8859.027473262036,-1.1937514870128236,0.4846267695595811,0.4281655861287453,"0.70 (0.30, 1.62)",0.3030821200235678,1.623568930400859,SW1,Diabetes,NA
factor(state)36,Conditional,3.957539202524105e-6,0.04214669227839807,-0.25618508089634384,8862,0.04215104557152084,1.0327841370838493e-4,8453379.673318667,843768662.7294428,8858.992615676747,-0.6585797954202095,0.1462096336275217,0.20530719805092282,"0.77 (0.52, 1.16)",0.5175858906105317,1.1574388007144494,SW1,Diabetes,NA
factor(state)37,Conditional,1.201372891574236e-6,0.10438115531652299,0.826669218817126,8862,0.10438247682670372,1.2660268475192796e-5,561636910.8714814,56150894420.97527,8859.027473262036,0.19343862389207978,1.459899813742172,0.3230827708601988,"2.29 (1.21, 4.31)",1.2134149095815274,4.305528151983054,SW1,Diabetes,NA
factor(state)4,Conditional,3.7022295339275826e-6,0.23685053906258238,-0.09526943015660917,8862,0.2368546115150697,1.719389148165787e-5,304528922.6666067,30443469586.837452,8859.027473262036,-1.049139042157638,0.8586001818444196,0.48667711217507414,"0.91 (0.35, 2.36)",0.3502391604932193,2.3598550126781386,SW1,Diabetes,NA
factor(state)5,Conditional,1.354470476053523e-6,0.08705893212772546,-0.579345833465116,8862,0.08706042204524912,1.7113603272960243e-5,307392566.77591896,30729789794.830093,8859.027473262036,-1.157652868028436,-0.0010387989017962562,0.29506003125677516,"0.56 (0.31, 1.00)",0.31422283849853067,0.9989617404630029,SW1,Diabetes,NA
factor(state)6,Conditional,1.6543075966133078e-6,0.03755883917326741,-0.42610479607795515,8862,0.03756065891162368,4.844798810788419e-5,38376880.12999632,3834343491.8974867,8859.027473262036,-0.8059570365323627,-0.04625255562354763,0.1938057246616407,"0.65 (0.45, 0.95)",0.4466602517633057,0.9548007914282375,SW1,Diabetes,NA
factor(state)7,Conditional,1.5816761837137205e-6,0.07822460268933842,-1.1521959520240936,8862,0.07822634253314051,2.2241149793600662e-5,182012781.95791432,18193993670.697098,8859.027473262036,-1.700377740826453,-0.6040141632217341,0.279689725469386,"0.32 (0.18, 0.55)",0.18261453005912406,0.5466130323381931,SW1,Diabetes,NA
factor(state)8,Conditional,1.2118448473220457e-6,0.03492536183906854,-0.8341086988106359,8862,0.034926694868400596,3.816648947393785e-5,61826745.42655275,6178429252.46474,8859.027473262036,-1.2004001949342529,-0.4678172026870189,0.18688685044272269,"0.43 (0.30, 0.63)",0.3010736996301793,0.6263680115826492,SW1,Diabetes,NA
factor(state)9,Conditional,2.1938049221529313e-6,0.024177824852382023,-0.32086860777823306,8862,0.02418023803779639,9.979990315215874e-5,9052365.597056312,903612582.6374137,8859.027473262036,-0.6256429323950171,-0.01609428316144912,0.15549996153631804,"0.73 (0.53, 0.98)",0.5349174022114718,0.984034537794253,SW1,Diabetes,NA
h_alcohol,Conditional,1.2658690379189825e-6,0.007578923428537895,-0.10051066311417287,8862,0.007580315884479606,1.8369365642952677e-4,2676017.779047577,266719145.83227918,8858.078953162974,-0.2711549468812209,0.07013362065287515,0.08706500953011839,"0.90 (0.76, 1.07)",0.7624983405115598,1.0726515000725734,SW1,Diabetes,NA
h_bmi,Conditional,5.152689466865571e-7,5.5983670685490403e-5,0.0035619940822669777,8862,5.655046652684562e-5,0.010022832280015652,1064.8251819874492,89590.42223204803,7989.044518908652,-0.011177142876416392,0.018301131040950346,0.0075200044233262,"1.00 (0.99, 1.02)",0.9888850893098783,1.0184696230348256,SW1,Diabetes,NA
h_dm,Conditional,5.56364485335638e-7,0.007903086869318902,0.7763262980522878,8862,0.007903698870252772,7.743221799259023e-5,15031565.392887758,1501063657.8979518,8859.027473262036,0.6020801107476402,0.9505724853569354,0.08890274950895935,"2.17 (1.83, 2.59)",1.8259129540525194,2.587190364033535,SW1,Diabetes,NA
h_education_2,Conditional,7.824967143689736e-7,0.01765452674682313,0.24230598402533368,8862,0.017655387493208937,4.8752619342790016e-5,37898989.58765643,3786575331.3822565,8859.027473262036,-0.01812144168462984,0.5027334097352972,0.13287357710699646,"1.27 (0.98, 1.65)",0.9820417643101562,1.6532340663222052,SW1,Diabetes,NA
h_education_3,Conditional,1.3547562167146143e-6,0.012481696142734054,0.16949492897878385,8862,0.012483186374572441,1.1937912273917463e-4,6328757.640106477,631518013.8139521,8858.818706085725,-0.04948828177671108,0.38847813973427875,0.1117281807538834,"1.18 (0.95, 1.47)",0.9517163104953532,1.4747347450189578,SW1,Diabetes,NA
h_education_4,Conditional,1.155914966022841e-6,0.02328359627913622,0.013111829833268493,8862,0.023284867785598847,5.460655711395203e-5,30212014.835055172,3018234077.8175516,8859.027473262036,-0.2859665224683073,0.31219018213484423,0.15259379995792374,"1.01 (0.75, 1.37)",0.7512877667859126,1.3664145359534856,SW1,Diabetes,NA
h_tobacco_any,Conditional,7.334859417826029e-7,0.00767684848528827,0.013626110978952223,8862,0.007677655319824231,1.0508866344619058e-4,8164919.245559149,814949640.1236968,8858.9732879864,-0.15811030577123872,0.1853625277291431,0.08762223073983126,"1.01 (0.85, 1.20)",0.8537556026041189,1.20365471925332,SW1,Diabetes,NA
hh_children,Conditional,2.0581825351463883e-8,7.591501093295135e-4,-0.05187229300793399,8862,7.591727493374002e-4,2.9821944881939304e-5,101252015.95263019,10119768624.984282,8859.027473262036,-0.10587535639391585,0.002130770378047868,0.027553089651387558,"0.95 (0.90, 1.00)",0.899536762594495,1.0021330420824568,SW1,Diabetes,NA
hh_high,Conditional,1.5488477451690616e-6,0.018312038074868035,0.4717348121844361,8862,0.01831374180738772,9.303027953570286e-5,10416475.55447931,1039905457.929976,8859.027473262036,0.20649626828541856,0.7369733560834536,0.13532827423486832,"1.60 (1.23, 2.09)",1.2293631465761226,2.089601454327583,SW1,Diabetes,NA
hh_highest,Conditional,4.2116325808628586e-6,0.0243634209889661,0.4697622163038479,8862,0.024368053784805048,1.9011759740279188e-4,2498519.8908383,248999155.9008764,8858.001105295363,0.16380653966940711,0.7757178929382886,0.15610270268257706,"1.60 (1.18, 2.17)",1.1779863994088478,2.1721509394066487,SW1,Diabetes,NA
hh_low,Conditional,3.747066192649923e-7,0.015246840289665966,0.4102542499807088,8862,0.015247252466947157,2.7032888848991342e-5,123216506.27877872,12315657198.619123,8859.027473262036,0.16823835692403968,0.6522701430373778,0.1234797654150151,"1.51 (1.18, 1.92)",1.183218605386023,1.9198943203440497,SW1,Diabetes,NA
hh_medium,Conditional,6.70216207616952e-7,0.015556178209106673,0.2933292474298255,8862,0.015556915446935052,4.738971751137814e-5,40109260.07886632,4007506815.7999706,8859.027473262036,0.04886810511366921,0.5377903897459818,0.12472736446720524,"1.34 (1.05, 1.71)",1.050081841180797,1.7122193418391143,SW1,Diabetes,NA
nmembers,Conditional,3.984568288825078e-9,1.2721697168524112e-4,0.007031105412979912,8862,1.2722135471035883e-4,3.4451960739502364e-5,75872413.95041104,7582538466.325245,8859.027473262036,-0.015075807428680877,0.0291380182546407,0.011279244421075325,"1.01 (0.99, 1.03)",0.985037263630491,1.02956668366617,SW1,Diabetes,NA
rural,Conditional,9.034400305431979e-7,0.0079765054073068,-0.18845882519121795,8862,0.007977499191340397,1.2457337942149512e-4,5812531.229002566,579951955.5501667,8858.761637010444,-0.3635166292548145,-0.013401021127621454,0.0893168471865213,"0.83 (0.70, 0.99)",0.6952271660103357,0.9866883727872168,SW1,Diabetes,NA
w_age,Conditional,3.6427910500013524e-9,2.9217223159328685e-5,0.05897788676349187,8862,2.9221230229483685e-5,1.3712872878837343e-4,4797963.335845154,478614232.88048667,8858.62174983281,0.04838297509871941,0.06957279842826433,0.005405666492624539,"1.06 (1.05, 1.07)",1.0495725385104813,1.0720501019265563,SW1,Diabetes,NA
w_alcohol,Conditional,6.648576114866454e-7,0.15887853030165205,-0.0708207349850713,8862,0.1588792616450247,4.6031392962368536e-6,4247860618.262723,424750867723.88635,8859.027473262036,-0.852055745129348,0.7104142751592053,0.3985966151951427,"0.93 (0.43, 2.03)",0.42653717831216603,2.0348340652641177,SW1,Diabetes,NA
w_bmi,Conditional,1.402510907759884e-7,3.172728833917715e-5,0.05894737731177855,8862,3.188156453903074e-5,0.004839041059754639,4185.540608719105,384347.3536155446,8619.393433320385,0.04788064840566329,0.0700141062178938,0.005646376230736909,"1.06 (1.05, 1.07)",1.0490454426063436,1.0725233103950214,SW1,Diabetes,NA
w_education_2,Conditional,4.528520343486913e-7,0.011403082924355002,-0.03840921795279503,8862,0.011403581061592786,4.368252701436785e-5,47202870.90335421,4716577784.678516,8859.027473262036,-0.24770897208317907,0.17089053617758895,0.10678755106093962,"0.96 (0.78, 1.19)",0.780587082857073,1.18636087831727,SW1,Diabetes,NA
w_education_3,Conditional,1.2107454243491763e-6,0.009742896425614992,0.07926377684575418,8862,0.009744228245581776,1.36677829502605e-4,4829633.304417761,481777332.40004826,8858.626821151936,-0.1142098692483,0.27273742293980835,0.09871285754946908,"1.08 (0.89, 1.31)",0.8920707180243391,1.3135552900516552,SW1,Diabetes,NA
w_education_4,Conditional,1.8139620986941599e-6,0.021528374964991118,-0.04300548100280421,8862,0.021530370323299682,9.267645092031902e-5,10496098.537658598,1047861107.8921957,8859.027473262036,-0.33059552113340324,0.2445845591277948,0.14673230838264517,"0.96 (0.72, 1.28)",0.7184957266115649,1.2770906473299601,SW1,Diabetes,NA
w_tobacco_any,Conditional,9.621392042711856e-7,0.028126745355412167,0.03788449646607748,8862,0.028127803708536864,3.762658242588244e-5,63613171.82786168,6357010987.024229,8859.027473262036,-0.290827839329307,0.366596832261462,0.16771345714800845,"1.04 (0.75, 1.44)",0.7476443818971273,1.4428161049325527,SW1,Diabetes,NA
(Intercept),Conditional,4.645913372864299e-5,0.0790490155257663,-8.042013573568644,8862,0.07910012057286782,6.460805208814924e-4,218124.87381573173,21561015.64167603,8850.641786211072,-8.593248450919493,-7.490778696217794,0.28124743656230505,"0.00 (0.00, 0.00)",1.853529985142483e-4,5.582081166466353e-4,SH1,Diabetes,NA
factor(state)10,Conditional,2.7361490400795177e-6,0.03518376953835205,0.5070920066583422,8862,0.035186779302296134,8.553678409240104e-5,12319840.426634258,1230089391.6307127,8859.027473262036,0.13943923026650645,0.8747447830501779,0.18758139380625183,"1.66 (1.15, 2.40)",1.1496289409508942,2.3982631384511226,SH1,Diabetes,NA
factor(state)11,Conditional,2.6740076373471067e-6,0.1664191010508247,0.23570495970388428,8862,0.16642204245922576,1.7674391911170526e-5,288198491.25034106,28810682592.7174,8859.027473262036,-0.5638595611552146,1.0352694805629832,0.40794857820468716,"1.27 (0.57, 2.82)",0.5690086964920937,2.815864954262669,SH1,Diabetes,NA
factor(state)12,Conditional,4.779824505610149e-6,0.04327570675293532,0.44413264977651584,8862,0.04328096455989149,1.2148081748260247e-4,6111899.877946195,609855714.9203101,8858.795671500227,0.03638022030895666,0.8518850792440751,0.20804077619517644,"1.56 (1.04, 2.34)",1.0370500790400197,2.344061431253677,SH1,Diabetes,NA
factor(state)13,Conditional,3.038109905255735e-6,0.09365894725699488,-0.1785167834870276,8862,0.09366228917789066,3.568053829470337e-5,70738947.64134203,7069353744.88796,8859.027473262036,-0.7783499495023927,0.4213163825283375,0.30604295315836083,"0.84 (0.46, 1.52)",0.45916302875903825,1.5239663584734728,SH1,Diabetes,NA
factor(state)14,Conditional,5.443584794015983e-6,0.06513968767772274,0.1747506150618435,8862,0.06514567562099616,9.191620497197968e-5,10670298.75100011,1065266671.2453389,8859.027473262036,-0.32550375104907436,0.6750049811727613,0.25523650918510105,"1.19 (0.72, 1.96)",0.7221634713904181,1.9640427591817753,SH1,Diabetes,NA
factor(state)15,Conditional,4.672558450471493e-6,0.10695258801457971,-0.03743322826065771,8862,0.10695772782887523,4.805463242209091e-5,39007450.54213615,3897373162.188641,8859.027473262036,-0.678427539674445,0.6035610831531294,0.32704392339390015,"0.96 (0.51, 1.83)",0.5074142541533238,1.8286190841096583,SH1,Diabetes,NA
factor(state)16,Conditional,2.7324032139188105e-5,0.07848719419834542,0.6664470088125551,8862,0.07851725063369852,3.828004051406139e-4,618422.1763444226,61418291.5901745,8855.332112898976,0.11724686595796707,1.215647151667143,0.2802092979072938,"1.95 (1.12, 3.37)",1.1243969707667292,3.3724758616448365,SH1,Diabetes,NA
factor(state)17,Conditional,4.243402575009544e-6,0.08672259504887646,-0.28093851955453986,8862,0.08672726279170896,5.3820940293260704e-5,31100013.6856703,3106990658.7098136,8859.027473262036,-0.8581379728680715,0.29626093375899176,0.2944949282953935,"0.76 (0.42, 1.34)",0.42395075563391393,1.3448210202579927,SH1,Diabetes,NA
factor(state)18,Conditional,3.315721083109412e-6,0.03473483764966779,0.343832233927557,8862,0.03473848494285921,1.0499286878572077e-4,8179811.166429788,816437425.7078148,8858.974312199178,-0.02147100968925525,0.7091354775443692,0.18638263047521142,"1.41 (0.98, 2.03)",0.9787578515521193,2.0322335874116932,SH1,Diabetes,NA
factor(state)19,Conditional,2.600174976531177e-6,0.034402815779390014,0.5513372563607399,8862,0.0344056759718642,8.313141344827127e-5,13042528.67804139,1302303416.9758875,8859.027473262036,0.18778810192665757,0.9148864107948222,0.18548767067345526,"1.74 (1.21, 2.50)",1.2065778167448353,2.4964916612952375,SH1,Diabetes,NA
factor(state)2,Conditional,3.5084103819932397e-6,0.06568042288605459,-0.5136117883395355,8862,0.06568428213747479,5.875456493709244e-5,26098675.08033541,2607109546.4649158,8859.027473262036,-1.0159298800227328,-0.01129369665633806,0.2562894499144957,"0.60 (0.36, 0.99)",0.36206559568474284,0.988769837731445,SH1,Diabetes,NA
factor(state)20,Conditional,3.125855878980741e-6,0.03653288535168255,0.5430497476358036,8862,0.03653632379314943,9.411021991007e-5,10178981.134313416,1016175998.5908357,8859.027473262036,0.16841287859422333,0.9176866166773838,0.1911447718174615,"1.72 (1.18, 2.50)",1.1834251206934012,2.503492148759728,SH1,Diabetes,NA
factor(state)21,Conditional,3.109688185482785e-6,0.03225377284129313,0.5483033832242756,8862,0.032257193498297164,1.0604323045684796e-4,8018722.550758681,800343847.2292119,8858.963073253297,0.1962882118613576,0.9003185545871937,0.17960287719938442,"1.73 (1.22, 2.46)",1.2168775733490074,2.4603867538205404,SH1,Diabetes,NA
factor(state)22,Conditional,6.665718284485249e-6,0.03733507801714822,0.3332198368006455,8862,0.037342410307261154,1.9635288811306395e-4,2342618.2221421646,233436048.054164,8857.924856021857,-0.045527219885443726,0.7119668934867346,0.19324184408988948,"1.40 (0.96, 2.04)",0.9554935937918129,2.0379958398067246,SH1,Diabetes,NA
factor(state)23,Conditional,3.5481222691456365e-6,0.0360728456371581,0.10175716959244907,8862,0.03607674857165416,1.081842086824524e-4,7704776.77895361,768979502.992923,8858.940105078336,-0.2705160425230814,0.4740303817079795,0.18993880217494835,"1.11 (0.76, 1.61)",0.762985659682981,1.6064557931568395,SH1,Diabetes,NA
factor(state)24,Conditional,3.336971445864683e-6,0.03864435912138149,-0.1575204416718205,8862,0.03864802978997194,9.497686196163059e-5,9994222.69257988,997715861.6679173,8859.027473262036,-0.542831764240147,0.22779088089650595,0.19659102164130474,"0.85 (0.58, 1.26)",0.5811003810046914,1.255822681458071,SH1,Diabetes,NA
factor(state)25,Conditional,2.889488118763685e-6,0.13063924892716242,0.6659777433230185,8862,0.13064242736409307,2.432928562925373e-5,152115673.1868766,15204907947.81594,8859.027473262036,-0.042441274656161654,1.3743967613021986,0.36144491608555385,"1.95 (0.96, 3.95)",0.9584467489831827,3.9526915870639905,SH1,Diabetes,NA
factor(state)27,Conditional,2.692376730103409e-6,0.03628793772937063,0.18972966524283513,8862,0.03629089934377375,8.160763322669929e-5,13533765.940160818,1351390756.5943005,8859.027473262036,-0.1836468145262924,0.5631061450119625,0.190501704306743,"1.21 (0.83, 1.76)",0.8322296833615771,1.7561187970653636,SH1,Diabetes,NA
factor(state)28,Conditional,2.92921763498161e-6,0.03954956381961067,0.6532873999729357,8862,0.03955278595900915,8.146428425595763e-5,13581402.324116837,1356150901.8855107,8859.027473262036,0.2634920706314004,1.043082729314471,0.19887882229892942,"1.92 (1.30, 2.84)",1.3014669750893633,2.837952181739304,SH1,Diabetes,NA
factor(state)29,Conditional,8.24778984300099e-6,0.033682669786411684,0.28091042523147974,8862,0.03369174235523899,2.692816753625188e-4,1247186.5459483608,124116325.05970162,8856.982758614686,-0.0788470533278458,0.6406679037908053,0.18355310500026686,"1.32 (0.92, 1.90)",0.9241812640849065,1.8977479691733885,SH1,Diabetes,NA
factor(state)3,Conditional,3.2676631356120324e-6,0.043941928451815875,-0.09436967597739089,8862,0.04394552288126505,8.179284745080643e-5,13472587.67248775,1345277424.9671867,8859.027473262036,-0.505240600728731,0.3165012487739491,0.2096318746786019,"0.91 (0.60, 1.37)",0.6033603890124786,1.3723179559500602,SH1,Diabetes,NA
factor(state)30,Conditional,3.188602370074905e-6,0.09651686115374096,0.48921986218268276,8862,0.09652036861634804,3.633909253935778e-5,68199058.75611526,6815447137.655342,8859.027473262036,-0.11969640589496755,1.098136130260333,0.3106772740583837,"1.63 (0.89, 3.00)",0.887189741410968,2.9985718648129414,SH1,Diabetes,NA
factor(state)31,Conditional,2.961909339980032e-6,0.416628963881751,-0.3877311493847806,8862,0.416632221982025,7.820087122590825e-6,1471907289.964874,147170012385.7509,8859.027473262036,-1.6528301669105108,0.8773678681409494,0.6454705430784777,"0.68 (0.19, 2.40)",0.19150714374409458,2.404562244667352,SH1,Diabetes,NA
factor(state)32,Conditional,2.942863209625383e-6,0.03712589663591873,0.47756018631864106,8862,0.03712913378544932,8.71862389597826e-5,11858449.713679142,1183986150.9771986,8859.027473262036,0.09989626326474116,0.8552241093725409,0.19268921554007457,"1.61 (1.11, 2.35)",1.1050562771990413,2.351901404665255,SH1,Diabetes,NA
factor(state)33,Conditional,5.612246092886256e-6,0.03089283308637684,0.6043605912887399,8862,0.030899006557079015,1.9979511932756715e-4,2262732.50445853,225461690.8282421,8857.882471984296,0.2598359004989483,0.9488852820785314,0.1757811325400966,"1.83 (1.30, 2.58)",1.2967172785469816,2.582828928318426,SH1,Diabetes,NA
factor(state)34,Conditional,3.910408007246446e-6,0.0660777819565748,0.6020621866114478,8862,0.06608208340538277,6.509251201394042e-5,21266163.295665167,2124126835.0389955,8859.027473262036,0.09822530578914179,1.1058990674337537,0.2570643565440039,"1.83 (1.10, 3.02)",1.103211317005987,3.0219401758206024,SH1,Diabetes,NA
