variable,estimate,lci,uci,type,group,est_ci,n
w_dm,6.3,4.8,7.7,Proportion,NA,"6.3 (4.8, 7.7)",2589
w_htn,30.6,28.4,32.8,Proportion,NA,"30.6 (28.4, 32.8)",3203
h_treated_bp,6.3,5.4,7.3,Proportion,NA,"6.3 (5.4, 7.3)",4333
h_diagnosed_dm,2.5,1.7,3.3,Proportion,NA,"2.5 (1.7, 3.3)",4333
h_treated_dm,1.8,1.1,2.4,Proportion,NA,"1.8 (1.1, 2.4)",4333
h_undiagnosed_bp,12.3,11.1,13.6,Proportion,NA,"12.3 (11.1, 13.6)",4333
h_tobacco_any,47.6,45.2,49.9,Proportion,NA,"47.6 (45.2, 49.9)",4333
h_alcohol,28.1,26.1,30.2,Proportion,NA,"28.1 (26.1, 30.2)",4333
h_dm,14.4,10.7,18,Proportion,NA,"14.4 (10.7, 18)",938
h_htn,59.2,56.2,62.3,Proportion,NA,"59.2 (56.2, 62.3)",1794
h_diagnosed_bp,9.1,8,10.2,Proportion,NA,"9.1 (8, 10.2)",4333
rural,56.7,53.7,59.7,Proportion,NA,"56.7 (53.7, 59.7)",4333
dm_joint,0.1,-0,0.2,Proportion,NA,"0.1 (0, 0.2)",3164
htn_joint,12,10.5,13.6,Proportion,NA,"12 (10.5, 13.6)",3044
w_education,16.3,14.2,18.4,Grouped,Higher,"16.3 (14.2, 18.4)",4333
w_education,26.4,24.7,28.2,Grouped,No education,"26.4 (24.7, 28.2)",4333
w_education,12.6,11.2,14.1,Grouped,Primary,"12.6 (11.2, 14.1)",4333
w_education,44.6,42.3,46.9,Grouped,Secondary,"44.6 (42.3, 46.9)",4333
w_bmi_category,12.1,10.6,13.5,Grouped,Underweight,"12.1 (10.6, 13.5)",3256
w_bmi_category,52.2,49.8,54.5,Grouped,Normal,"52.2 (49.8, 54.5)",3256
w_bmi_category,25.9,23.8,27.9,Grouped,Overweight,"25.9 (23.8, 27.9)",3256
w_bmi_category,9.9,8.5,11.4,Grouped,Obese,"9.9 (8.5, 11.4)",3256
w_bmi_category,0,0,0,Grouped,NA,"0 (0, 0)",3256
h_bmi_category,7.8,6.2,9.3,Grouped,Underweight,"7.8 (6.2, 9.3)",1868
h_bmi_category,56.3,53.2,59.3,Grouped,Normal,"56.3 (53.2, 59.3)",1868
h_bmi_category,29.3,26.6,32.1,Grouped,Overweight,"29.3 (26.6, 32.1)",1868
h_bmi_category,6.6,5.2,8,Grouped,Obese,"6.6 (5.2, 8)",1868
h_bmi_category,0,0,0,Grouped,NA,"0 (0, 0)",1868
h_education,21,19,23.1,Grouped,Higher,"21 (19, 23.1)",4333
h_education,14.2,12.9,15.6,Grouped,No education,"14.2 (12.9, 15.6)",4333
h_education,13.3,11.7,14.9,Grouped,Primary,"13.3 (11.7, 14.9)",4333
h_education,51.4,49.2,53.6,Grouped,Secondary,"51.4 (49.2, 53.6)",4333
caste_group,17.2,15.6,18.8,Grouped,1,"17.2 (15.6, 18.8)",4333
caste_group,24.4,22.1,26.8,Grouped,2,"24.4 (22.1, 26.8)",4333
caste_group,35.8,33.5,38.2,Grouped,3,"35.8 (33.5, 38.2)",4333
caste_group,22.6,20.8,24.4,Grouped,4,"22.6 (20.8, 24.4)",4333
religion,77.8,75.5,80.1,Grouped,Hindu,"77.8 (75.5, 80.1)",4333
religion,15.8,13.7,17.9,Grouped,Muslim,"15.8 (13.7, 17.9)",4333
religion,6.4,5.2,7.6,Grouped,Other,"6.4 (5.2, 7.6)",4333
wealthq,14.7,13.3,16.1,Grouped,Lowest,"14.7 (13.3, 16.1)",4333
wealthq,15.8,14.3,17.3,Grouped,Low,"15.8 (14.3, 17.3)",4333
wealthq,18.5,16.8,20.1,Grouped,Medium,"18.5 (16.8, 20.1)",4333
wealthq,22.2,20.4,24,Grouped,High,"22.2 (20.4, 24)",4333
wealthq,28.8,26.5,31.2,Grouped,Highest,"28.8 (26.5, 31.2)",4333
swealthq_ur,17,15.4,18.6,Grouped,Lowest,"17 (15.4, 18.6)",4333
swealthq_ur,18.6,16.8,20.3,Grouped,Low,"18.6 (16.8, 20.3)",4333
swealthq_ur,20.1,18.2,22,Grouped,Medium,"20.1 (18.2, 22)",4333
swealthq_ur,21.3,19.5,23.1,Grouped,High,"21.3 (19.5, 23.1)",4333
swealthq_ur,23.1,20.9,25.2,Grouped,Highest,"23.1 (20.9, 25.2)",4333
