variable,group,Wives_Analytic,Husbands_Analytic,Wives_Excluded,Husbands_Excluded
bmi_category,Overweight,"20.4 (19.9, 20.9)","23.9 (23.3, 24.5)","18.4 (16.8, 20)","11 (9.8, 12.2)"
bmi_category,Obese,"7.3 (6.8, 7.7)","5 (4.6, 5.3)","6.9 (5.9, 7.9)","2.5 (2, 3)"
bmi_category,NA,"0.2 (0.1, 0.2)","0.3 (0.2, 0.4)","28.6 (26.4, 30.7)","62.5 (60.3, 64.7)"
caste,General,"24.9 (24.1, 25.8)",NA,"30.1 (27.8, 32.5)",NA
caste,OBC,"43.2 (42.2, 44.1)",NA,"41.6 (39.3, 44)",NA
caste,Schedule Caste,"21.7 (20.8, 22.5)",NA,"20.7 (19, 22.4)",NA
caste,Schedule Tribe,"10.2 (9.6, 10.8)",NA,"7.5 (6.6, 8.5)",NA
religion,Hindu,"82.6 (81.7, 83.5)",NA,"77.5 (75.3, 79.7)",NA
religion,Muslim,"12.4 (11.6, 13.3)",NA,"16.2 (14.1, 18.3)",NA
religion,Other,"5 (4.6, 5.3)",NA,"6.3 (5.1, 7.5)",NA
wealthq,Lowest,"18.3 (17.6, 19)",NA,"14.7 (13.4, 16.1)",NA
wealthq,Low,"20.2 (19.5, 20.8)",NA,"16.1 (14.7, 17.6)",NA
wealthq,Medium,"21.1 (20.5, 21.8)",NA,"18.6 (17, 20.2)",NA
wealthq,High,"21 (20.3, 21.6)",NA,"21.9 (20.2, 23.7)",NA
wealthq,Highest,"19.4 (18.5, 20.3)",NA,"28.6 (26.3, 30.9)",NA
swealthq_ur,Lowest,"18.3 (17.6, 19)",NA,"17.1 (15.5, 18.6)",NA
swealthq_ur,Low,"20.1 (19.5, 20.7)",NA,"18.6 (16.9, 20.3)",NA
swealthq_ur,Medium,"20.6 (20.1, 21.2)",NA,"20 (18.2, 21.8)",NA
swealthq_ur,High,"20.5 (19.9, 21.1)",NA,"21.3 (19.6, 23.1)",NA
swealthq_ur,Highest,"20.5 (19.7, 21.3)",NA,"23 (20.9, 25.1)",NA
